player_id,therapy_id,item_id,x_coord,y_coord,hit,color
0,0,0,7.4,3,False,Black
0,0,1,7.4,3,True,Red
0,0,2,7.4,3,False,Green
0,0,3,8.5,3,True,Green
0,0,4,8.5,3,False,Green
0,0,5,7.4,1,True,Green
0,0,6,8.5,3,False,Black
0,0,7,8.5,3,False,Green
0,0,8,8.5,3,False,Black
0,0,9,8.5,2,False,Red
0,0,10,8.5,1,False,Black
0,0,11,7.4,3,True,Green
0,0,12,8.5,1,False,Green
0,0,13,6.3,1,True,Red
0,0,14,6.3,3,False,Red
0,0,15,6.3,2,True,Black
0,0,16,8.5,3,False,Green
0,0,17,8.5,1,True,Red
0,0,18,6.3,1,True,Red
0,0,19,8.5,1,True,White
0,0,20,8.5,1,True,Red
0,0,21,6.3,1,True,Red
0,0,22,8.5,1,True,Black
0,0,23,7.4,3,False,Green
0,0,24,7.4,1,False,Green
